α	Cl	Cd	Cm 0.25	Cp*	M cr.	Elemento
-12,2	-4,114	0,26221	0,112	-37,429	0,133	Total
 	-3,803	0,24734	-0,1776	-	-	1
 	-0,259	0,01334	0,2472	-	-	2
 	-0,051	0,00152	0,0419	-	-	3
-12,0	-4,111	0,26035	0,112	-36,967	0,133	Total
 	-3,795	0,24557	-0,1773	-	-	1
 	-0,264	0,01326	0,2475	-	-	2
 	-0,052	0,00151	0,0420	-	-	3
-11,8	-4,109	0,25889	0,113	-36,506	0,134	Total
 	-3,788	0,24410	-0,1770	-	-	1
 	-0,268	0,01328	0,2478	-	-	2
 	-0,053	0,00151	0,0421	-	-	3
-11,6	-4,106	0,24160	0,114	-36,048	0,135	Total
 	-3,781	0,22689	-0,1767	-	-	1
 	-0,272	0,01319	0,2482	-	-	2
 	-0,054	0,00151	0,0421	-	-	3
-11,4	-4,104	0,24146	0,114	-35,591	0,136	Total
 	-3,773	0,22653	-0,1765	-	-	1
 	-0,276	0,01342	0,2485	-	-	2
 	-0,055	0,00151	0,0422	-	-	3
-11,2	-4,101	1,08554	0,115	-35,136	0,137	Total
 	-3,765	1,07071	-0,1762	-	-	1
 	-0,281	0,01333	0,2488	-	-	2
 	-0,055	0,00151	0,0423	-	-	3
-11,0	-4,098	1,05160	0,116	-34,683	0,138	Total
 	-3,757	1,03694	-0,1758	-	-	1
 	-0,285	0,01322	0,2491	-	-	2
 	-0,056	0,00144	0,0424	-	-	3
-10,8	-4,095	1,07015	0,116	-34,233	0,139	Total
 	-3,749	1,05585	-0,1755	-	-	1
 	-0,289	0,01286	0,2494	-	-	2
 	-0,057	0,00144	0,0425	-	-	3
-10,6	-4,093	1,06504	0,117	-33,784	0,140	Total
 	-3,741	1,05043	-0,1752	-	-	1
 	-0,293	0,01310	0,2497	-	-	2
 	-0,058	0,00151	0,0425	-	-	3
-10,4	-4,090	1,04845	0,118	-33,337	0,140	Total
 	-3,733	1,03394	-0,1749	-	-	1
 	-0,298	0,01301	0,2500	-	-	2
 	-0,059	0,00150	0,0426	-	-	3
-10,2	-4,086	1,02910	0,118	-32,892	0,141	Total
 	-3,725	1,01483	-0,1745	-	-	1
 	-0,302	0,01283	0,2503	-	-	2
 	-0,060	0,00143	0,0427	-	-	3
-10,0	-4,083	0,93129	0,119	-32,450	0,142	Total
 	-3,717	0,91701	-0,1742	-	-	1
 	-0,306	0,01283	0,2505	-	-	2
 	-0,060	0,00146	0,0428	-	-	3
-9,8	-4,081	0,99864	0,120	-32,009	0,143	Total
 	-3,710	0,98420	-0,1738	-	-	1
 	-0,310	0,01293	0,2508	-	-	2
 	-0,061	0,00151	0,0429	-	-	3
-9,6	-4,077	0,78895	0,121	-31,571	0,144	Total
 	-3,701	0,77462	-0,1734	-	-	1
 	-0,314	0,01283	0,2511	-	-	2
 	-0,062	0,00150	0,0429	-	-	3
-9,4	-4,075	0,81228	0,121	-31,135	0,145	Total
 	-3,693	0,79791	-0,1730	-	-	1
 	-0,318	0,01292	0,2514	-	-	2
 	-0,063	0,00144	0,0430	-	-	3
-9,2	-4,072	0,76180	0,122	-30,701	0,146	Total
 	-3,685	0,74755	-0,1726	-	-	1
 	-0,323	0,01281	0,2516	-	-	2
 	-0,064	0,00144	0,0431	-	-	3
-9,0	-4,068	0,72993	0,123	-30,269	0,147	Total
 	-3,677	0,71550	-0,1722	-	-	1
 	-0,327	0,01299	0,2519	-	-	2
 	-0,065	0,00144	0,0431	-	-	3
-8,8	-4,065	0,73324	0,123	-29,839	0,148	Total
 	-3,668	0,71891	-0,1718	-	-	1
 	-0,331	0,01289	0,2521	-	-	2
 	-0,066	0,00144	0,0432	-	-	3
-8,6	-4,060	0,67910	0,124	-29,412	0,150	Total
 	-3,658	0,66470	-0,1714	-	-	1
 	-0,335	0,01297	0,2524	-	-	2
 	-0,067	0,00144	0,0433	-	-	3
-8,4	-4,058	0,69103	0,125	-28,986	0,151	Total
 	-3,651	0,67665	-0,1710	-	-	1
 	-0,339	0,01295	0,2526	-	-	2
 	-0,067	0,00143	0,0434	-	-	3
-8,2	-4,053	0,55060	0,126	-28,563	0,152	Total
 	-3,641	0,53644	-0,1706	-	-	1
 	-0,343	0,01273	0,2528	-	-	2
 	-0,068	0,00143	0,0434	-	-	3
-8,0	-4,049	0,53608	0,126	-28,143	0,153	Total
 	-3,632	0,52184	-0,1701	-	-	1
 	-0,347	0,01281	0,2530	-	-	2
 	-0,069	0,00143	0,0435	-	-	3
-7,8	-4,045	0,52163	0,127	-27,724	0,154	Total
 	-3,623	0,50751	-0,1697	-	-	1
 	-0,352	0,01269	0,2533	-	-	2
 	-0,070	0,00142	0,0436	-	-	3
-7,6	-4,041	0,50115	0,128	-27,308	0,155	Total
 	-3,615	0,48694	-0,1692	-	-	1
 	-0,356	0,01276	0,2535	-	-	2
 	-0,071	0,00144	0,0436	-	-	3
-7,4	-4,038	0,44628	0,129	-26,895	0,155	Total
 	-3,606	0,43211	-0,1687	-	-	1
 	-0,360	0,01273	0,2537	-	-	2
 	-0,072	0,00144	0,0437	-	-	3
-7,2	-4,033	0,44083	0,129	-26,483	0,157	Total
 	-3,597	0,42660	-0,1682	-	-	1
 	-0,364	0,01279	0,2539	-	-	2
 	-0,073	0,00144	0,0438	-	-	3
-7,0	-4,030	0,43063	0,130	-26,075	0,158	Total
 	-3,588	0,41653	-0,1678	-	-	1
 	-0,368	0,01267	0,2541	-	-	2
 	-0,074	0,00143	0,0438	-	-	3
-6,8	-4,026	0,40191	0,131	-25,668	0,159	Total
 	-3,579	0,38768	-0,1673	-	-	1
 	-0,372	0,01280	0,2543	-	-	2
 	-0,075	0,00143	0,0439	-	-	3
-6,6	-4,021	0,32850	0,132	-25,264	0,160	Total
 	-3,569	0,31427	-0,1668	-	-	1
 	-0,376	0,01276	0,2545	-	-	2
 	-0,076	0,00148	0,0440	-	-	3
-6,4	-4,018	0,34386	0,132	-24,862	0,162	Total
 	-3,561	0,32980	-0,1662	-	-	1
 	-0,380	0,01263	0,2546	-	-	2
 	-0,077	0,00142	0,0440	-	-	3
-6,2	-4,014	0,34033	0,133	-24,463	0,163	Total
 	-3,552	0,32623	-0,1657	-	-	1
 	-0,384	0,01267	0,2548	-	-	2
 	-0,078	0,00142	0,0441	-	-	3
-6,0	-4,009	0,33559	0,134	-24,067	0,164	Total
 	-3,542	0,32146	-0,1652	-	-	1
 	-0,388	0,01271	0,2550	-	-	2
 	-0,079	0,00142	0,0442	-	-	3
-5,8	-4,005	0,31298	0,135	-23,672	0,166	Total
 	-3,533	0,29899	-0,1647	-	-	1
 	-0,392	0,01258	0,2552	-	-	2
 	-0,080	0,00142	0,0442	-	-	3
-5,6	-3,999	0,29084	0,135	-23,281	0,167	Total
 	-3,522	0,27682	-0,1641	-	-	1
 	-0,396	0,01261	0,2553	-	-	2
 	-0,080	0,00141	0,0443	-	-	3
-5,4	-3,996	0,28829	0,136	-22,892	0,168	Total
 	-3,514	0,27425	-0,1636	-	-	1
 	-0,400	0,01256	0,2555	-	-	2
 	-0,081	0,00148	0,0444	-	-	3
-5,2	-3,991	0,24849	0,137	-22,505	0,170	Total
 	-3,505	0,23442	-0,1630	-	-	1
 	-0,404	0,01259	0,2556	-	-	2
 	-0,082	0,00148	0,0444	-	-	3
-5,0	-3,985	0,22583	0,138	-22,121	0,171	Total
 	-3,494	0,21191	-0,1624	-	-	1
 	-0,408	0,01245	0,2557	-	-	2
 	-0,083	0,00147	0,0445	-	-	3
-4,8	-3,980	0,21850	0,139	-21,740	0,173	Total
 	-3,484	0,20456	-0,1618	-	-	1
 	-0,412	0,01247	0,2559	-	-	2
 	-0,084	0,00147	0,0445	-	-	3
-4,6	-3,975	0,21217	0,139	-21,361	0,174	Total
 	-3,474	0,19822	-0,1613	-	-	1
 	-0,416	0,01248	0,2560	-	-	2
 	-0,085	0,00146	0,0446	-	-	3
-4,4	-3,970	0,20521	0,140	-20,985	0,176	Total
 	-3,464	0,19124	-0,1607	-	-	1
 	-0,420	0,01250	0,2561	-	-	2
 	-0,086	0,00146	0,0447	-	-	3
-4,2	-3,967	0,21708	0,141	-20,612	0,177	Total
 	-3,456	0,20327	-0,1601	-	-	1
 	-0,424	0,01235	0,2562	-	-	2
 	-0,087	0,00146	0,0447	-	-	3
-4,0	-3,959	0,20102	0,142	-20,241	0,179	Total
 	-3,444	0,18703	-0,1595	-	-	1
 	-0,427	0,01252	0,2563	-	-	2
 	-0,088	0,00148	0,0448	-	-	3
-3,8	-3,955	0,18943	0,142	-19,873	0,180	Total
 	-3,434	0,17559	-0,1588	-	-	1
 	-0,432	0,01238	0,2564	-	-	2
 	-0,089	0,00146	0,0448	-	-	3
-3,6	-3,950	0,16631	0,143	-19,508	0,182	Total
 	-3,424	0,15256	-0,1582	-	-	1
 	-0,435	0,01229	0,2565	-	-	2
 	-0,090	0,00147	0,0449	-	-	3
-3,4	-3,945	0,15677	0,144	-19,145	0,184	Total
 	-3,414	0,14302	-0,1576	-	-	1
 	-0,439	0,01229	0,2566	-	-	2
 	-0,091	0,00146	0,0449	-	-	3
-3,2	-4,186	0,15875	0,140	-18,785	0,185	Total
 	-3,404	0,13662	-0,1569	-	-	1
 	-0,689	0,02067	0,2522	-	-	2
 	-0,092	0,00146	0,0450	-	-	3
-3,0	-4,179	0,15344	0,141	-18,428	0,187	Total
 	-3,394	0,13152	-0,1563	-	-	1
 	-0,692	0,02046	0,2526	-	-	2
 	-0,093	0,00146	0,0451	-	-	3
-2,8	-4,173	0,14933	0,142	-18,074	0,189	Total
 	-3,384	0,12764	-0,1556	-	-	1
 	-0,694	0,02024	0,2529	-	-	2
 	-0,094	0,00145	0,0451	-	-	3
-2,6	-4,166	0,14981	0,143	-17,722	0,191	Total
