"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         167,      -3.341703872,     -0.8762793473,      -1.019477524,       2.120897482
          0,           0,         168,      -3.342368667,     -0.8767580433,      -1.019957937,       2.120233523
          0,           0,         169,        -3.3430206,     -0.8772647642,      -1.020456541,       2.119582484
          0,           0,         170,      -3.343656742,     -0.8778012238,      -1.020976218,       2.118947339
          0,           0,         171,      -3.344274131,     -0.8783688356,      -1.021519708,       2.118331096
          0,           0,         172,      -3.344869858,     -0.8789686625,      -1.022089484,       2.117736699
          0,           0,         173,      -3.345441214,     -0.8796014538,      -1.022687688,       2.117166876
          0,           0,         174,      -3.345985791,     -0.8802675955,      -1.023316044,        2.11662405
          0,           0,         175,      -3.346501578,      -0.880967044,       -1.02397568,       2.116110237
          0,           0,         176,      -3.346987118,     -0.8816993856,      -1.024667135,       2.115626887
          0,           0,         177,      -3.347441564,     -0.8824637728,      -1.025390222,        2.11517483
          0,           0,         178,      -3.347864785,     -0.8832589827,      -1.026143979,       2.114754164
          0,           0,         179,       -3.34825732,     -0.8840833026,      -1.026926608,       2.114364317
          0,           0,         180,      -3.348620461,     -0.8849346205,      -1.027735467,       2.114003948
          0,           0,         181,      -3.348956234,     -0.8858104444,      -1.028567072,       2.113670975
          0,           0,         182,      -3.349267319,     -0.8867078629,      -1.029417171,        2.11336266
          0,           0,         183,      -3.349557038,     -0.8876236881,      -1.030280817,       2.113075612
          0,           0,         184,      -3.349829206,     -0.8885544295,      -1.031152484,       2.112805946
          0,           0,         185,      -3.350087997,     -0.8894963493,      -1.032026256,       2.112549421
          0,           0,         186,      -3.350337862,     -0.8904456066,      -1.032895964,       2.112301515
          0,           0,         187,       -3.35058334,     -0.8913983117,      -1.033755387,       2.112057612
          0,           0,         188,      -3.350828937,     -0.8923506497,       -1.03459849,       2.111813143
          0,           0,         189,      -3.351078968,     -0.8932989646,      -1.035419608,        2.11156373
          0,           0,         190,      -3.351337403,      -0.894239864,      -1.036213655,       2.111305341
          0,           0,         191,      -3.351607758,     -0.8951702907,      -1.036976296,       2.111034414
          0,           0,         192,      -3.351892979,     -0.8960875556,      -1.037704097,       2.110747961
          0,           0,         193,      -3.352195366,     -0.8969894431,       -1.03839466,       2.110443653
          0,           0,         194,      -3.352516507,     -0.8978742034,      -1.039046644,       2.110119892
          0,           0,         195,      -3.352857294,      -0.898740573,      -1.039659765,       2.109775778
          0,           0,         196,      -3.353217942,     -0.8995878139,      -1.040234785,       2.109411108
          0,           0,         197,      -3.353597978,     -0.9004155921,      -1.040773395,       2.109026376
          0,           0,         198,       -3.35399636,     -0.9012239628,      -1.041278111,       2.108622661
          0,           0,         199,      -3.354411525,     -0.9020132604,      -1.041752093,       2.108201581
          0,           0,         200,      -3.354841562,     -0.9027840917,      -1.042198967,       2.107765116
          0,           0,         201,      -3.355284286,     -0.9035372294,      -1.042622638,       2.107315519
          0,           0,         202,      -3.355737348,     -0.9042734902,       -1.04302709,       2.106855218
          0,           0,         203,      -3.356198376,     -0.9049937095,      -1.043416196,       2.106386665
          0,           0,         204,       -3.35666505,     -0.9056986412,       -1.04379357,       2.105912265
          0,           0,         205,      -3.357135226,     -0.9063889437,       -1.04416244,        2.10543425
          0,           0,         206,      -3.357607024,     -0.9070651922,      -1.044525562,       2.104954581
          0,           0,         207,      -3.358078852,     -0.9077277848,      -1.044885196,       2.104474928
          0,           0,         208,      -3.358549502,     -0.9083770504,      -1.045243085,       2.103996571
          0,           0,         209,      -3.359018089,     -0.9090131872,      -1.045600468,       2.103520457
          0,           0,         210,      -3.359484138,     -0.9096363932,      -1.045958134,       2.103047113
          0,           0,         211,      -3.359947485,     -0.9102468035,      -1.046316467,       2.102576749
          0,           0,         212,      -3.360408262,     -0.9108445626,      -1.046675537,       2.102109268
          0,           0,         213,      -3.360866868,     -0.9114298741,      -1.047035191,       2.101644297
          0,           0,         214,      -3.361323887,     -0.9120029804,      -1.047395123,       2.101181272
          0,           0,         215,       -3.36178007,     -0.9125642354,      -1.047754948,       2.100719456
          0,           0,         216,      -3.362236233,     -0.9131140375,      -1.048114253,       2.100258043
          0,           0,         217,       -3.36269329,      -0.913652971,      -1.048472666,       2.099796123
          0,           0,         218,      -3.363152123,     -0.9141815409,       -1.04882979,       2.099332817
          0,           0,         219,      -3.363613636,     -0.9147003888,      -1.049185322,       2.098867214
          0,           0,         220,      -3.364078702,     -0.9152102041,      -1.049538987,       2.098398435
          0,           0,         221,       -3.36454813,      -0.915711633,       -1.04989053,       2.097925654
          0,           0,         222,      -3.365022723,     -0.9162053479,      -1.050239715,       2.097448046
